mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.12146822611490886,0.0109412294267647,0.03863660494486491,0.01074567363024871,,1,50,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.48459999999999975,-0.4652465753424653,-0.4349808219178097,-0.46160913242009155,0.02041958131546234,20,-0.15763287671232884,-0.1567767123287673,-0.16557077625570765,-0.15999345509893462,0.0039592202790668315
0.17347304026285806,0.008065954765759307,0.043942928314208984,0.00010269412694998952,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.4825123287671205,-0.4705082191780814,-0.44207397260273973,-0.4650315068493138,0.01695702304392655,24,-0.16058219178082792,-0.15269931506849432,-0.16042465753424662,-0.15790205479452293,0.003679454647300224
0.33882848421732586,0.010245436779317716,0.07397079467773438,0.015989382306668933,,1,200,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.4828787671232862,-0.4675931506849262,-0.44810616438355916,-0.46619269406392383,0.014230353342631147,26,-0.1604198630137039,-0.15280068493150975,-0.1572623287671262,-0.15682762557077995,0.0031256672688917855
0.12204718589782715,0.005804893327622722,0.035613695780436196,0.006225569774264139,,3,50,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.4685858590800375,-0.45892581828369494,-0.4238574878926244,-0.4504563884187856,0.01921727051286968,11,-0.2437544219099016,-0.2457275262712938,-0.25052562069589507,-0.2466691896256968,0.0028433935891968984
0.18670924504597983,0.01019512702663938,0.03767546017964681,0.0026508354278738456,,3,100,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.4772042994030329,-0.46491613922987185,-0.43012748202710477,-0.4574159735533365,0.019937335954488853,18,-0.2470992249797384,-0.24337114950878674,-0.25028429977556743,-0.24691822475469752,0.002825182290740559
0.35366519292195636,0.005984824546770101,0.051618099212646484,0.006920977211491041,,3,200,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.47662781007234817,-0.4609327690745328,-0.4298490237150602,-0.45580320095398036,0.019438759649949188,16,-0.24712712598094447,-0.24361231112019632,-0.2479677334870224,-0.24623572352938772,0.0018865090769890685
0.1178593635559082,0.01210035184445958,0.037352800369262695,0.0027054789088529676,,5,50,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.4556060301206208,-0.4430058545566971,-0.4300042081317677,-0.44287203093636185,0.010452328412312414,3,-0.30235849109882595,-0.2936741258420084,-0.30053984080395935,-0.2988574859149312,0.0037396335344462538
0.16520818074544272,0.007048811455841521,0.03736424446105957,0.00150989085041916,,5,100,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.45766476141459006,-0.44704429741729673,-0.4312934723304082,-0.44533417705409833,0.010833731451131123,6,-0.30516767164150116,-0.2941415130809957,-0.29721010396511593,-0.29883976289587094,0.004646567501808492
0.32317352294921875,0.038198679131946175,0.05559293429056803,0.004062559888706965,,5,200,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.4566961338577763,-0.4482389203520664,-0.4342178016842898,-0.44638428529804414,0.009269973308595358,9,-0.30632941066179353,-0.2941404442635229,-0.29424747012927893,-0.29823910835153183,0.005720874480797202
0.09557366371154785,0.006203226111671646,0.027361313501993816,0.0022497412722704523,8,1,50,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.4788474325066097,-0.45594795069935956,-0.4339737397450118,-0.4562563743169937,0.018320906443396064,17,-0.1691167032054712,-0.19038883382789348,-0.21675387623330228,-0.192086471088889,0.019484806777304197
